Designator,Mid X,Mid Y,Rotation,Layer
D1_2,118.404,-115.89,180.0,top
D1,163.196,-33.71,0.0,top
D2_2,95.29,-115.89,0.0,top
D2,186.31,-33.71,180.0,top
J1_2,100.46,-123.13,90.0,top
J1,181.14,-26.47,270.0,top
J10_2,146.926,-102.302,270.0,top
J10,134.674,-47.298,90.0,top
J2_2,99.19,-114.24,270.0,bottom
J2,182.41,-35.36,90.0,bottom
J3_2,115.6746,-78.2736,270.0,top
J3,165.9254,-71.3264,90.0,top
J4_2,135.75,-118.431,270.0,bottom
J4,145.85,-31.169,90.0,bottom
J5_2,152.5648,-96.079,180.0,top
J5,129.0352,-53.521,0.0,top
J6_2,131.432,-118.558,180.0,top
J6,150.168,-31.042,0.0,top
J7_2,134.734,-102.302,90.0,top
J7,146.866,-47.298,270.0,top
J8_2,146.9514,-83.1504,90.0,bottom
J8,134.6486,-66.4496,270.0,bottom
J9_2,150.228,-118.558,180.0,top
J9,131.372,-31.042,0.0,top
R1_2,135.5214,-112.3002,90.0,bottom
R1,146.0786,-37.2998,270.0,bottom
R10_2,133.5054,-99.2794,0.0,bottom
R10,148.0946,-50.3206,180.0,bottom
R11_2,150.6852,-112.4714,90.0,bottom
R11,130.9148,-37.1286,270.0,bottom
R12_2,152.9458,-112.4526,270.0,bottom
R12,128.6542,-37.1474,90.0,bottom
R13_2,155.1048,-112.462,270.0,bottom
R13,126.4952,-37.138,90.0,bottom
R14_2,148.45,-112.478,270.0,bottom
R14,133.15,-37.122,90.0,bottom
R15_2,146.164,-112.478,90.0,bottom
R15,135.436,-37.122,270.0,bottom
R16_2,148.2308,-105.5024,180.0,bottom
R16,133.3692,-44.0976,0.0,bottom
R17_2,148.1292,-99.0762,180.0,bottom
R17,133.4708,-50.5238,0.0,bottom
R18_2,154.9364,-102.4036,180.0,bottom
R18,126.6636,-47.1964,0.0,bottom
R19_2,155.8668,-105.3086,270.0,bottom
R19,125.7332,-44.2914,90.0,bottom
R2_2,126.2758,-112.2936,270.0,bottom
R2,155.3242,-37.3064,90.0,bottom
R20_2,155.7906,-99.2954,90.0,bottom
R20,125.8094,-50.3046,270.0,bottom
R3_2,133.3116,-112.3124,90.0,bottom
R3,148.2884,-37.2876,270.0,bottom
R4_2,128.6634,-112.2936,270.0,bottom
R4,152.9366,-37.3064,90.0,bottom
R5_2,130.9748,-112.2936,90.0,bottom
R5,150.6252,-37.3064,270.0,bottom
R6_2,125.9964,-99.1618,270.0,bottom
R6,155.6036,-50.4382,90.0,bottom
R7_2,126.8948,-102.4036,180.0,bottom
R7,154.7052,-47.1964,0.0,bottom
R8_2,125.9202,-105.4356,270.0,bottom
R8,155.6798,-44.1644,90.0,bottom
R9_2,133.4546,-105.5024,180.0,bottom
R9,148.1454,-44.0976,0.0,bottom
RV1_2,144.3606,-102.302,90.0,top
RV1,137.2394,-47.298,270.0,top
RV2_2,140.83,-111.7,180.0,top
RV2,140.77,-37.9,0.0,top
RV3_2,137.274,-102.302,270.0,top
RV3,144.326,-47.298,90.0,top
RV4_2,140.83,-120.7678,180.0,top
RV4,140.77,-28.8322,0.0,top
SW1_2,119.002,-111.192,180.0,top
SW1,162.598,-38.408,0.0,top
SW2_2,119.002,-94.682,180.0,top
SW2,162.598,-54.918,0.0,top
SW3_2,99.698,-111.192,180.0,top
SW3,181.902,-38.408,0.0,top
SW4_2,99.698,-94.682,180.0,top
SW4,181.902,-54.918,0.0,top
U1_2,118.24,-52.01,180.0,top
U1,163.36,-97.59,0.0,top
U5_2,106.81,-62.02,180.0,top
U5,174.79,-87.58,0.0,top
U6_2,143.1422,-96.0004,0.0,top
U6,138.4578,-53.5996,180.0,top
U7_2,134.226,-108.4488,270.0,top
U7,147.374,-41.1512,90.0,top
U8_2,157.18,-85.792,270.0,top
U8,124.42,-63.808,90.0,top
U9_2,147.434,-116.0434,90.0,top
U9,134.166,-33.5566,270.0,top
